epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,207.113,0.48573,0.39455,0.97762,0.87929,0.39147,0.5685,0.31929,1.59599,1.91297,1.86262,0.000296964,0.000296964,0.000296964
67,210.213,0.48464,0.38158,0.96311,0.84659,0.45228,0.54778,0.32669,1.60705,1.8297,1.86584,0.000288718,0.000288718,0.000288718
68,213.342,0.48593,0.38047,0.96365,0.80287,0.41224,0.47068,0.29785,1.68173,1.73066,1.95146,0.000280471,0.000280471,0.000280471
69,216.448,0.45954,0.37002,0.9562,0.59189,0.49217,0.52533,0.31516,1.67223,1.84504,1.9111,0.000272224,0.000272224,0.000272224
70,219.645,0.46414,0.37994,0.97329,0.56248,0.52333,0.52841,0.302,1.75249,2.05209,1.99465,0.000263978,0.000263978,0.000263978
71,222.809,0.437,0.35361,0.95025,0.55028,0.4431,0.49579,0.28329,1.68694,2.07316,1.94904,0.000255731,0.000255731,0.000255731
72,225.931,0.43766,0.36171,0.948,0.58265,0.43829,0.52216,0.29605,1.65955,2.02481,1.95126,0.000247484,0.000247484,0.000247484
73,229.029,0.43806,0.34463,0.95731,0.79842,0.37582,0.50301,0.3058,1.59665,1.97001,1.92472,0.000239238,0.000239238,0.000239238
74,232.121,0.42238,0.33582,0.9489,0.50883,0.55533,0.52559,0.30982,1.5646,1.93881,1.90871,0.000230991,0.000230991,0.000230991
75,235.22,0.45766,0.35549,0.95862,0.47036,0.54459,0.50246,0.32777,1.58114,1.95797,1.90237,0.000222744,0.000222744,0.000222744
76,238.306,0.43938,0.34835,0.94275,0.79142,0.47063,0.54639,0.32873,1.642,2.05386,1.91068,0.000214497,0.000214497,0.000214497
77,241.44,0.40933,0.34233,0.94747,0.78255,0.44072,0.54776,0.31406,1.60956,1.97422,1.91236,0.000206251,0.000206251,0.000206251
78,244.549,0.44467,0.34658,0.95056,0.81053,0.34774,0.4503,0.29007,1.64887,1.88717,1.97315,0.000198004,0.000198004,0.000198004
79,247.672,0.43402,0.35981,0.95101,0.5278,0.43162,0.4725,0.3,1.64485,1.81233,2.00296,0.000189757,0.000189757,0.000189757
80,250.776,0.40175,0.32331,0.92871,0.7303,0.43335,0.48456,0.30645,1.60054,1.94488,1.90835,0.000181511,0.000181511,0.000181511
81,253.869,0.42902,0.33899,0.9284,0.73178,0.472,0.54684,0.3226,1.55551,1.94333,1.83808,0.000173264,0.000173264,0.000173264
82,256.956,0.42199,0.33514,0.94706,0.8219,0.55673,0.57795,0.31667,1.57007,1.93759,1.84421,0.000165017,0.000165017,0.000165017
83,260.153,0.41581,0.33825,0.96428,0.8226,0.54506,0.58246,0.31133,1.60117,1.95584,1.88363,0.000156771,0.000156771,0.000156771
84,263.264,0.42832,0.33357,0.96023,0.82456,0.52568,0.57869,0.33097,1.64822,2.01269,1.94841,0.000148524,0.000148524,0.000148524
85,266.359,0.42671,0.33282,0.93216,0.81618,0.5224,0.55026,0.31536,1.66403,2.02564,1.9633,0.000140277,0.000140277,0.000140277
86,269.466,0.39293,0.31018,0.93168,0.79725,0.51712,0.54676,0.32495,1.65951,1.96249,1.9756,0.000132031,0.000132031,0.000132031
87,272.57,0.41539,0.32849,0.9335,0.85702,0.49624,0.54261,0.3195,1.63892,1.9604,1.94171,0.000123784,0.000123784,0.000123784
88,275.644,0.3853,0.30253,0.91998,0.86954,0.54201,0.55176,0.329,1.63689,1.98068,1.94377,0.000115537,0.000115537,0.000115537
89,278.745,0.37931,0.31171,0.93047,0.90492,0.54303,0.57494,0.31798,1.69132,1.96808,2.02907,0.00010729,0.00010729,0.00010729
90,281.829,0.40848,0.3195,0.93031,0.86946,0.50248,0.51323,0.30572,1.69432,1.97095,2.05883,9.90437e-05,9.90437e-05,9.90437e-05
91,290.695,0.35232,0.27586,0.88239,0.80123,0.49963,0.51491,0.30484,1.64236,1.78658,2.0328,9.0797e-05,9.0797e-05,9.0797e-05
92,293.79,0.328,0.26751,0.8852,0.60928,0.52731,0.52226,0.30418,1.646,1.71157,2.07635,8.25503e-05,8.25503e-05,8.25503e-05
93,297.027,0.33368,0.26139,0.85597,0.60448,0.53377,0.51948,0.30306,1.64981,1.74581,2.08766,7.43036e-05,7.43036e-05,7.43036e-05
94,300.24,0.31549,0.25307,0.86733,0.61344,0.53599,0.52213,0.3089,1.61882,1.77689,2.06884,6.60569e-05,6.60569e-05,6.60569e-05
95,303.417,0.32563,0.2575,0.8727,0.58848,0.53433,0.52699,0.3152,1.60245,1.77487,2.05404,5.78102e-05,5.78102e-05,5.78102e-05
96,306.572,0.30058,0.24709,0.86004,0.59716,0.53811,0.52815,0.32684,1.60939,1.78907,2.06227,4.95635e-05,4.95635e-05,4.95635e-05
97,309.807,0.30917,0.24832,0.87795,0.59211,0.5399,0.5313,0.31676,1.64255,1.82984,2.08418,4.13168e-05,4.13168e-05,4.13168e-05
98,312.998,0.32612,0.24148,0.86593,0.58674,0.53387,0.52698,0.30283,1.65672,1.87138,2.08249,3.30701e-05,3.30701e-05,3.30701e-05
99,316.17,0.29345,0.23678,0.86066,0.59867,0.49604,0.50623,0.28602,1.66434,1.92138,2.07517,2.48234e-05,2.48234e-05,2.48234e-05
100,319.414,0.29239,0.23611,0.87877,0.60118,0.49494,0.51636,0.30686,1.68145,1.91308,2.09423,1.65767e-05,1.65767e-05,1.65767e-05
